"tourney_id","rank_P_1","rank_P_2","match_num","tourney_date_P_1","id_P_1","id_P_2","name_P_1","name_P_2","tourney_name","Win_P_1"
"2021-9481",57,90,297,20210405,111513,207518,"Laslo Djere","Lorenzo Musetti","Cagliari",1
"2020-580",39,9,209,20200120,105227,105138,"Marin Cilic","Roberto Bautista Agut","Australian Open",1
"2022-580",22,228,143,20220117,126203,109739,"Taylor Fritz","Maximilian Marterer","Australian Open",1
"2022-8888",117,44,251,20220103,111794,105643,"Kamil Majchrzak","Federico Delbonis","Atp Cup",1
"2022-0495",123,24,283,20220221,106210,105227,"Jiri Vesely","Marin Cilic","Dubai",1
"2019-540",10,51,183,20190701,104926,105916,"Fabio Fognini","Marton Fucsovics","Wimbledon",1
"2019-0425",14,81,294,20190422,106421,111797,"Daniil Medvedev","Nicolas Jarry","Barcelona",1
"2020-520",3,40,1148,20200928,106233,105227,"Dominic Thiem","Marin Cilic","Roland Garros",1
"2019-0891",6,81,297,20181231,104731,144719,"Kevin Anderson","Jaume Munar","Pune",1
"2019-M-DC-2019-FLS-F-M-ITA-CAN-01",150,12,1,20191118,105577,104926,"Vasek Pospisil","Fabio Fognini","Davis Cup Finals RR: ITA vs CAN",1
"2018-0337",33,37,275,20181022,104792,105449,"Gael Monfils","Steve Johnson","Vienna",1
"2019-0500",33,5,294,20190617,105676,100644,"David Goffin","Alexander Zverev","Halle",1
"2021-520",42,97,203,20210531,105526,207989,"Jan Lennard Struff","Carlos Alcaraz","Roland Garros",1
"2021-5053",28,1,299,20210419,106234,104925,"Aslan Karatsev","Novak Djokovic","Belgrade",1
"2021-0352",26,27,263,20211101,126203,132283,"Taylor Fritz","Lorenzo Sonego","Paris Masters",1
"2018-0352",6,22,277,20181029,104731,105932,"Kevin Anderson","Nikoloz Basilashvili","Paris Masters",1
"2021-0416",11,22,279,20210510,105138,106426,"Roberto Bautista Agut","Cristian Garin","Rome Masters",1
"2022-0410",5,32,274,20220411,126774,104926,"Stefanos Tsitsipas","Fabio Fognini","Monte Carlo Masters",1
"2022-0360",82,33,281,20220404,207518,105077,"Lorenzo Musetti","Albert Ramos","Marrakech",1
"2020-0319",118,81,298,20200907,105870,111513,"Yannick Hanfmann","Laslo Djere","Kitzbuhel",1
"2021-520",61,107,157,20210531,105550,123755,"Guido Pella","Daniel Elahi Galan","Roland Garros",1
"2018-M006",21,110,276,20180305,105023,106026,"Sam Querrey","Yuki Bhambri","Indian Wells Masters",1
"2018-580",117,18,128,20180115,105074,106298,"Ruben Bemelmans","Lucas Pouille","Australian Open",1
"2018-0316",15,33,298,20180716,104926,104269,"Fabio Fognini","Fernando Verdasco","Bastad",1
"2021-0741",283,88,284,20210621,126845,105902,"Max Purcell","James Duckworth","Eastbourne",1
"2019-0506",19,96,296,20190211,106043,105077,"Diego Schwartzman","Albert Ramos","Buenos Aires",1
"2022-540",45,9,148,20220627,202195,200000,"Maxime Cressy","Felix Auger Aliassime","Wimbledon",1
"2021-0418",3,192,285,20210802,104745,106058,"Rafael Nadal","Jack Sock","Washington",1
"2018-0407",81,68,280,20180212,104312,105311,"Andreas Seppi","Joao Sousa","Rotterdam",1
"2022-0416",5,20,274,20220509,126774,105777,"Stefanos Tsitsipas","Grigor Dimitrov","Rome Masters",1
"2018-540",35,54,178,20180702,126774,111577,"Stefanos Tsitsipas","Jared Donaldson","Wimbledon",1
"2019-0321",38,25,277,20190610,105526,133430,"Jan Lennard Struff","Denis Shapovalov","Stuttgart",1
"2022-0410",13,22,283,20220411,126203,105227,"Taylor Fritz","Marin Cilic","Monte Carlo Masters",1
"2022-7434",95,31,300,20220926,144817,208029,"Marc Andrea Huesler","Holger Rune","Sofia",1
"2020-560",43,30,143,20200831,105357,105932,"John Millman","Nikoloz Basilashvili","Us Open",1
"2019-0352",13,23,275,20191028,104792,105332,"Gael Monfils","Benoit Paire","Paris Masters",1
"2019-0352",42,65,291,20191028,106426,104871,"Cristian Garin","Jeremy Chardy","Paris Masters",1
"2018-M021",10,44,277,20180507,105676,104898,"David Goffin","Robin Haase","Madrid Masters",1
"2019-7485",119,13,293,20191014,206173,104792,"Jannik Sinner","Gael Monfils","Antwerp",1
"2021-0425",19,7,295,20210419,206173,126094,"Jannik Sinner","Andrey Rublev","Barcelona",1
"2019-520",147,53,1103,20190527,106099,144719,"Salvatore Caruso","Jaume Munar","Roland Garros",1
"2019-540",65,79,180,20190701,105023,126094,"Sam Querrey","Andrey Rublev","Wimbledon",1
"2021-0422",7,2,299,20210816,126094,106421,"Andrey Rublev","Daniil Medvedev","Cincinnati Masters",1
"2022-560",31,96,112,20220829,111575,106045,"Karen Khachanov","Denis Kudla","Us Open",1
"2018-0500",60,24,292,20180618,105051,104259,"Matthew Ebden","Philipp Kohlschreiber","Halle",1
"2018-0500",36,27,289,20180618,111575,105453,"Karen Khachanov","Kei Nishikori","Halle",1
"2018-0410",4,34,295,20180416,100644,104755,"Alexander Zverev","Richard Gasquet","Monte Carlo Masters",1
"2018-0891",14,41,298,20180101,104731,105332,"Kevin Anderson","Benoit Paire","Pune",1
"2018-0717",51,72,299,20180409,105449,126203,"Steve Johnson","Taylor Fritz","Houston",1
"2021-0568",35,43,279,20211025,105227,105077,"Marin Cilic","Albert Ramos","St. Petersburg",1
"2018-0328",3,35,285,20181022,103819,105936,"Roger Federer","Filip Krajinovic","Basel",1
"2018-7434",77,92,275,20180205,104312,104022,"Andreas Seppi","Mikhail Youzhny","Sofia",1
"2022-560",51,27,120,20220829,104918,202103,"Andy Murray","Francisco Cerundolo","Us Open",1
"2019-540",45,91,130,20190701,104655,106000,"Pablo Cuevas","Damir Dzumhur","Wimbledon",1
"2018-540",81,15,152,20180702,126610,106058,"Matteo Berrettini","Jack Sock","Wimbledon",1
"2020-560",7,32,221,20200831,100644,106432,"Alexander Zverev","Borna Coric","Us Open",1
"2019-0439",58,112,282,20190715,105936,106121,"Filip Krajinovic","Taro Daniel","Umag",1
"2021-0352",103,17,272,20211101,200384,105807,"Hugo Gaston","Pablo Carreno Busta","Paris Masters",1
"2021-7485",44,17,288,20211018,200221,106426,"Alejandro Davidovich Fokina","Cristian Garin","Antwerp",1
"2019-M007",131,91,208,20190318,122330,105815,"Alexander Bublik","Tennys Sandgren","Miami Masters",1
